Rock,Boulder,Aid,Ice,Mixed,Snow,Danger
3rd,V-easy,A1,WI1,M1,Easy Snow,PG13
4th,V0,A2,WI2,M2,Mod. Snow,R
Easy 5th,V1,A3,WI3,M3,Steep Snow,X
5.0,V2,A4,WI4,M4,,
5.1,V3,A5,WI5,M5,,
5.2,V4,C1,WI6,M6,,
5.3,V5,C2,WI7,M7,,
5.4,V6,C3,WI8,M8,,
5.5,V7,C4,WI9,M9,,
5.6,V8,C5,WI10,M10,,
5.7,V9,A0,AI1,M11,,
5.8,V10,C0,AI2,M12,,
5.9,V11,,AI3,M13,,
5.10a,V12,,AI4,M14,,
5.10b,V13,,AI5,M15,,
5.10c,V14,,AI6,M16,,
5.10d,V15,,AI7,M17,,
5.11a,V16,,AI8,M18,,
5.11b,V17,,AI9,M19,,
5.11c,V18,,AI10,M20,,
5.11d,V19,,AI?,,,
5.12a,V20,,WI?,,,
5.12b,V?,,,,,
5.12c,,,,,,
5.12d,,,,,,
5.13a,,,,,,
5.13b,,,,,,
5.13c,,,,,,
5.13d,,,,,,
5.14a,,,,,,
5.14b,,,,,,
5.14c,,,,,,
5.14d,,,,,,
5.15a,,,,,,
5.15b,,,,,,
5.15c,,,,,,
5.15d,,,,,,
5.10-,,,,,,
5.10+,,,,,,
5.11-,,,,,,
5.11+,,,,,,
5.12-,,,,,,
5.12+,,,,,,
5.13-,,,,,,
5.13+,,,,,,
5.14-,,,,,,
5.14+,,,,,,
5.15-,,,,,,
5.15+,,,,,,
